[2022/06/28 20:25:19] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', dropout=0.3, epochs=200, epsilon=8, eval=False, fgsm_alpha=1.0, fgsm_init='r
andom', fname='experiments/cifar10_dropout/preactresnet18_0.3', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18drop', norm='l_i
nf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)                                                                                                                                                           
Files already downloaded and verified                                                                                                                                                                                                 
Files already downloaded and verified                                                                                                                                                                                                 
[2022/06/28 20:25:23] - Epoch    Train Time      Test Time       LR              Train Loss      Train Acc       Train Robust Loss       Train Robust Acc        Test Loss       Test Acc        Test Robust Loss    Test Robust Acc  
[2022/06/29 01:12:11] - 84       170.5           31.7            0.1000          0.9029          0.7433          1.4384                  0.4578                  0.8699          0.7352          1.4656              0.4515
[2022/06/29 01:15:33] - 85       170.5           31.7            0.1000          0.9034          0.7427          1.4382                  0.4571                  0.9087          0.7209          1.5926              0.4117
[2022/06/29 01:18:56] - 86       170.6           31.7            0.1000          0.9032          0.7443          1.4407                  0.4574                  0.8904          0.7509          1.4796              0.4437
[2022/06/29 01:22:18] - 87       170.6           31.7            0.1000          0.9011          0.7456          1.4397                  0.4581                  0.8915          0.7135          1.5022              0.4366
[2022/06/29 01:25:40] - 88       170.5           31.7            0.1000          0.9070          0.7398          1.4428                  0.4555                  0.8391          0.7590          1.4939              0.4427
[2022/06/29 01:29:03] - 89       170.7           31.7            0.1000          0.9012          0.7426          1.4392                  0.4563                  0.8766          0.7430          1.4848              0.4448
[2022/06/29 01:32:25] - 90       170.8           31.7            0.1000          0.9006          0.7452          1.4377                  0.4566                  0.8421          0.7450          1.4988              0.4330
[2022/06/29 01:35:48] - 91       170.7           31.7            0.1000          0.9070          0.7414          1.4404                  0.4532                  0.8436          0.7552          1.4482              0.4544
[2022/06/29 01:39:11] - 92       170.8           31.7            0.1000          0.9037          0.7423          1.4379                  0.4571                  0.8750          0.7333          1.4862              0.4409
[2022/06/29 01:42:33] - 93       170.5           31.7            0.1000          0.9069          0.7436          1.4436                  0.4570                  0.8808          0.7419          1.4775              0.4465
[2022/06/29 01:45:55] - 94       170.5           31.7            0.1000          0.9019          0.7449          1.4378                  0.4591                  0.8583          0.7416          1.5139              0.4352
[2022/06/29 01:49:17] - 95       170.5           31.8            0.1000          0.9082          0.7416          1.4424                  0.4568                  0.8541          0.7397          1.4801              0.4403
[2022/06/29 01:52:40] - 96       170.5           31.7            0.1000          0.9012          0.7453          1.4399                  0.4579                  0.8672          0.7388          1.4733              0.4438
[2022/06/29 01:56:02] - 97       170.5           31.7            0.1000          0.8988          0.7465          1.4369                  0.4589                  0.8484          0.7349          1.5050              0.4310
[2022/06/29 01:59:24] - 98       170.5           31.7            0.1000          0.9027          0.7434          1.4390                  0.4600                  0.8870          0.7224          1.5192              0.4285
[2022/06/29 02:02:46] - 99       170.6           31.7            0.0100          0.8992          0.7451          1.4355                  0.4587                  0.8691          0.7479          1.5011              0.4304
[2022/06/29 02:06:09] - 100      170.5           31.7            0.0100          0.8016          0.7798          1.2760                  0.5170                  0.6939          0.7989          1.3338              0.4885
[2022/06/29 02:09:32] - 101      170.7           31.7            0.0100          0.7223          0.8030          1.2118                  0.5380                  0.6677          0.8011          1.3378              0.4921
[2022/06/29 02:12:54] - 102      170.5           31.7            0.0100          0.6972          0.8088          1.1881                  0.5460                  0.6649          0.8118          1.3432              0.4960
[2022/06/29 02:16:16] - 103      170.6           31.7            0.0100          0.6772          0.8149          1.1699                  0.5526                  0.6414          0.8193          1.3517              0.4923
[2022/06/29 02:19:39] - 104      170.6           31.7            0.0100          0.6585          0.8224          1.1527                  0.5588                  0.6581          0.8132          1.3122              0.4987
[2022/06/29 02:23:01] - 105      170.7           31.8            0.0100          0.6463          0.8256          1.1383                  0.5661                  0.6361          0.8155          1.3287              0.4924
[2022/06/29 02:26:24] - 106      170.6           31.7            0.0100          0.6373          0.8277          1.1308                  0.5666                  0.6281          0.8215          1.3054              0.4995
[2022/06/29 02:29:46] - 107      170.5           31.7            0.0100          0.6254          0.8326          1.1195                  0.5706                  0.6207          0.8236          1.3351              0.4927
[2022/06/29 02:33:08] - 108      170.5           31.7            0.0100          0.6179          0.8348          1.1130                  0.5726                  0.6103          0.8262          1.3436              0.4916
[2022/06/29 02:36:30] - 109      170.5           31.7            0.0100          0.6068          0.8395          1.1031                  0.5731                  0.6071          0.8239          1.3339              0.4912
[2022/06/29 02:39:53] - 110      170.5           31.7            0.0100          0.6031          0.8419          1.1001                  0.5761                  0.6322          0.8245          1.3320              0.4991
[2022/06/29 02:43:15] - 111      170.7           31.7            0.0100          0.5921          0.8433          1.0890                  0.5800                  0.5993          0.8290          1.3395              0.4900
[2022/06/29 02:46:38] - 112      170.5           31.7            0.0100          0.5856          0.8451          1.0802                  0.5849                  0.5807          0.8339          1.3375              0.4956
[2022/06/29 02:50:00] - 113      170.8           31.7            0.0100          0.5820          0.8484          1.0779                  0.5868                  0.6073          0.8256          1.3279              0.4982
[2022/06/29 02:53:22] - 114      170.5           31.7            0.0100          0.5715          0.8511          1.0694                  0.5880                  0.6046          0.8272          1.3619              0.4819
[2022/06/29 02:56:45] - 115      170.6           31.7            0.0100          0.5685          0.8527          1.0669                  0.5889                  0.5924          0.8278          1.3481              0.4885
[2022/06/29 03:00:07] - 116      170.5           31.7            0.0100          0.5659          0.8522          1.0664                  0.5879                  0.5752          0.8347          1.3669              0.4877
[2022/06/29 03:03:29] - 117      170.6           31.7            0.0100          0.5600          0.8563          1.0573                  0.5942                  0.5915          0.8285          1.3754              0.4844
[2022/06/29 03:06:51] - 118      170.5           31.7            0.0100          0.5580          0.8569          1.0591                  0.5898                  0.6070          0.8206          1.3427              0.4909
[2022/06/29 03:10:14] - 119      170.5           31.7            0.0100          0.5541          0.8573          1.0566                  0.5897                  0.5858          0.8247          1.3678              0.4900
[2022/06/29 03:13:36] - 120      170.5           31.7            0.0100          0.5504          0.8608          1.0510                  0.5943                  0.6025          0.8296          1.3680              0.4888
[2022/06/29 03:16:59] - 121      170.7           31.7            0.0100          0.5446          0.8617          1.0474                  0.5963                  0.5867          0.8381          1.3507              0.4917
[2022/06/29 03:20:21] - 122      170.5           31.7            0.0100          0.5426          0.8641          1.0469                  0.5935                  0.5964          0.8331          1.3564              0.4933
[2022/06/29 03:23:43] - 123      170.5           31.7            0.0100          0.5383          0.8633          1.0413                  0.5955                  0.5979          0.8327          1.3810              0.4856
[2022/06/29 03:27:06] - 124      170.6           31.7            0.0100          0.5355          0.8660          1.0383                  0.5964                  0.5934          0.8201          1.3886              0.4852
[2022/06/29 03:30:28] - 125      171.0           31.7            0.0100          0.5332          0.8658          1.0368                  0.5974                  0.6058          0.8326          1.3779              0.4844
[2022/06/29 03:33:50] - 126      170.5           31.7            0.0100          0.5315          0.8642          1.0344                  0.5978                  0.5717          0.8283          1.4380              0.4755
[2022/06/29 03:37:13] - 127      170.6           31.7            0.0100          0.5275          0.8683          1.0317                  0.6004                  0.5974          0.8256          1.3998              0.4855
[2022/06/29 03:40:35] - 128      170.5           31.7            0.0100          0.5258          0.8678          1.0305                  0.6009                  0.5816          0.8329          1.3860              0.4874
[2022/06/29 03:43:57] - 129      170.5           31.7            0.0100          0.5224          0.8694          1.0275                  0.5981                  0.5911          0.8312          1.3998              0.4877
[2022/06/29 03:47:20] - 130      170.7           31.7            0.0100          0.5180          0.8704          1.0249                  0.6030                  0.6186          0.8320          1.4181              0.4791
[2022/06/29 03:50:42] - 131      170.6           31.8            0.0100          0.5158          0.8707          1.0223                  0.6022                  0.5755          0.8310          1.4093              0.4787
[2022/06/29 03:54:05] - 132      170.5           31.7            0.0100          0.5136          0.8732          1.0200                  0.6023                  0.5696          0.8288          1.4283              0.4771
[2022/06/29 03:57:27] - 133      170.6           31.7            0.0100          0.5157          0.8714          1.0221                  0.6011                  0.5879          0.8290          1.3847              0.4842
[2022/06/29 04:00:49] - 134      170.5           31.7            0.0100          0.5088          0.8754          1.0135                  0.6057                  0.5861          0.8271          1.4020              0.4851
[2022/06/29 04:04:11] - 135      170.5           31.7            0.0100          0.5097          0.8739          1.0154                  0.6046                  0.5850          0.8289          1.4188              0.4811
[2022/06/29 04:07:34] - 136      170.6           31.7            0.0100          0.5036          0.8757          1.0081                  0.6069                  0.5403          0.8378          1.4632              0.4638
[2022/06/29 04:10:56] - 137      170.6           31.7            0.0100          0.5009          0.8771          1.0074                  0.6086                  0.6175          0.8279          1.4013              0.4829
[2022/06/29 04:14:18] - 138      170.5           31.7            0.0100          0.5033          0.8769          1.0098                  0.6069                  0.5686          0.8365          1.4084              0.4796
[2022/06/29 04:17:40] - 139      170.7           31.7            0.0100          0.5012          0.8786          1.0042                  0.6060                  0.5905          0.8274          1.4286              0.4796
[2022/06/29 04:21:03] - 140      170.6           31.7            0.0100          0.4952          0.8798          1.0016                  0.6078                  0.5669          0.8254          1.4294              0.4759
[2022/06/29 04:24:25] - 141      170.5           31.7            0.0100          0.4955          0.8787          1.0000                  0.6099                  0.5633          0.8240          1.4346              0.4772
[2022/06/29 04:27:48] - 142      170.6           31.7            0.0100          0.4941          0.8792          1.0023                  0.6081                  0.5938          0.8284          1.4272              0.4784
[2022/06/29 04:31:10] - 143      170.6           31.7            0.0100          0.4923          0.8801          0.9984                  0.6104                  0.5631          0.8346          1.4776              0.4716
[2022/06/29 04:34:32] - 144      170.6           31.7            0.0100          0.4871          0.8806          0.9929                  0.6110                  0.5616          0.8299          1.4558              0.4778
[2022/06/29 04:37:55] - 145      170.7           31.7            0.0100          0.4880          0.8795          0.9911                  0.6129                  0.5662          0.8311          1.4299              0.4789
[2022/06/29 04:41:17] - 146      170.7           31.7            0.0100          0.4846          0.8809          0.9907                  0.6138                  0.5760          0.8316          1.4339              0.4799
[2022/06/29 04:44:39] - 147      170.6           31.7            0.0100          0.4839          0.8837          0.9872                  0.6134                  0.5397          0.8433          1.4772              0.4654
[2022/06/29 04:48:02] - 148      170.7           31.7            0.0100          0.4813          0.8848          0.9868                  0.6144                  0.5624          0.8318          1.4015              0.4814
[2022/06/29 04:51:24] - 149      170.7           31.7            0.0010          0.4782          0.8837          0.9818                  0.6132                  0.5590          0.8326          1.4612              0.4728
[2022/06/29 04:54:47] - 150      170.7           31.7            0.0010          0.4439          0.8929          0.8860                  0.6509                  0.5013          0.8522          1.4309              0.4840
[2022/06/29 04:58:09] - 151      170.6           31.7            0.0010          0.4121          0.9014          0.8468                  0.6645                  0.5020          0.8517          1.4074              0.4875
[2022/06/29 05:01:32] - 152      170.6           31.7            0.0010          0.3969          0.9063          0.8255                  0.6740                  0.4897          0.8557          1.4281              0.4871
[2022/06/29 05:04:54] - 153      170.8           31.8            0.0010          0.3858          0.9076          0.8109                  0.6758                  0.4718          0.8577          1.4663              0.4795
[2022/06/29 05:08:16] - 154      170.6           31.7            0.0010          0.3772          0.9107          0.8041                  0.6789                  0.4842          0.8577          1.4695              0.4842
[2022/06/29 05:11:39] - 155      170.6           31.7            0.0010          0.3720          0.9135          0.7946                  0.6842                  0.4762          0.8540          1.4815              0.4856
[2022/06/29 05:15:01] - 156      170.6           31.7            0.0010          0.3678          0.9144          0.7855                  0.6902                  0.4630          0.8562          1.5208              0.4778
[2022/06/29 05:18:23] - 157      170.6           31.7            0.0010          0.3614          0.9143          0.7799                  0.6888                  0.4700          0.8582          1.4943              0.4820
[2022/06/29 05:21:46] - 158      170.5           31.8            0.0010          0.3561          0.9153          0.7701                  0.6931                  0.4758          0.8562          1.5366              0.4787
[2022/06/29 05:25:08] - 159      170.6           31.7            0.0010          0.3509          0.9167          0.7643                  0.6944                  0.4602          0.8592          1.5243              0.4768
[2022/06/29 05:28:31] - 160      170.6           31.7            0.0010          0.3462          0.9183          0.7576                  0.6983                  0.4953          0.8490          1.5294              0.4783
[2022/06/29 05:31:53] - 161      170.6           31.7            0.0010          0.3438          0.9181          0.7561                  0.6992                  0.4808          0.8561          1.5297              0.4735
[2022/06/29 05:35:16] - 162      171.0           31.8            0.0010          0.3402          0.9191          0.7507                  0.7010                  0.4496          0.8600          1.6226              0.4635
[2022/06/29 05:38:38] - 163      170.6           31.7            0.0010          0.3381          0.9208          0.7473                  0.7016                  0.4578          0.8613          1.5679              0.4720
[2022/06/29 05:42:01] - 164      170.7           31.7            0.0010          0.3336          0.9227          0.7396                  0.7044                  0.4717          0.8572          1.5338              0.4816
