[2022/06/16 16:52:09] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=True, cutout_len=10, data_dir='../cifar-data', epochs=200, epsilon=8, eval=False, fgsm_alpha=1.0, fgsm_init='random', fname='experiments/cifar10_mixup/preactresnet18_1.
0', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=True, mixup_alpha=1.0, model='PreActResNet18', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)                                 
Files already downloaded and verified                                                                                                                                                                                                                                           
Files already downloaded and verified                                                                                                                                                                                                                                           
[2022/06/16 16:52:12] - Epoch    Train Time      Test Time       LR              Train Loss      Train Acc       Train Robust Loss       Train Robust Acc        Test Loss       Test Acc        Test Robust Loss        Test Robust Acc                                        
[2022/06/17 00:54:09] - 133      186.9           28.7            0.0100          1.6169          0.3702          1.9495                  0.2206                  1.3953          0.6471          1.6678                  0.4729
[2022/06/17 00:57:45] - 134      186.9           28.7            0.0100          1.6137          0.3753          1.9477                  0.2243                  1.0789          0.7021          1.4604                  0.4921
[2022/06/17 01:01:20] - 135      186.9           28.7            0.0100          1.5801          0.3865          1.9261                  0.2313                  1.3959          0.6473          1.6712                  0.4557
[2022/06/17 01:04:56] - 136      187.0           28.7            0.0100          1.6152          0.3799          1.9509                  0.2258                  0.9421          0.7170          1.4215                  0.4810
[2022/06/17 01:08:32] - 137      186.9           28.8            0.0100          1.5909          0.3550          1.9360                  0.2152                  1.4422          0.6233          1.6992                  0.4549
[2022/06/17 01:12:07] - 138      186.9           28.7            0.0100          1.6025          0.3958          1.9418                  0.2362                  1.3866          0.6422          1.6555                  0.4557
[2022/06/17 01:15:43] - 139      187.0           28.7            0.0100          1.5998          0.3643          1.9390                  0.2194                  1.2278          0.6826          1.5847                  0.4631
[2022/06/17 01:19:19] - 140      187.0           28.7            0.0100          1.5787          0.4082          1.9242                  0.2422                  1.3747          0.6396          1.6534                  0.4570
[2022/06/17 01:22:55] - 141      186.9           28.7            0.0100          1.5952          0.3777          1.9347                  0.2262                  1.0153          0.7143          1.4269                  0.4953
[2022/06/17 01:26:31] - 142      186.9           28.7            0.0100          1.5909          0.3721          1.9338                  0.2204                  0.9305          0.7171          1.3986                  0.4852
[2022/06/17 01:30:06] - 143      186.9           28.7            0.0100          1.5852          0.3755          1.9307                  0.2246                  1.3549          0.6505          1.6425                  0.4595
[2022/06/17 01:33:42] - 144      186.9           28.7            0.0100          1.5846          0.3997          1.9296                  0.2391                  1.0302          0.7176          1.4165                  0.5054
[2022/06/17 01:37:18] - 145      186.9           28.7            0.0100          1.5898          0.3789          1.9355                  0.2263                  0.8954          0.7456          1.3822                  0.4905
