[2022/06/28 20:21:20] - Namespace(attack='pgd', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../cifar-data', dropout=0.2, epochs=200, epsilon=8, eval=False, fgsm_alpha=1.0, fgsm_init='r
andom', fname='experiments/cifar10_dropout/preactresnet18_0.2', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='PreActResNet18drop', norm='l_i
nf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)                                                                                                                                                           
[2022/06/28 20:21:35] - Epoch    Train Time      Test Time       LR              Train Loss      Train Acc       Train Robust Loss       Train Robust Acc        Test Loss       Test Acc        Test Robust Loss    Test Robust Acc  
[2022/06/29 00:45:23] - 77       170.8           31.8            0.1000          0.8772          0.7532          1.4246                  0.4614                  0.8600          0.7352          1.4738                  0.4406
[2022/06/29 00:48:45] - 78       170.8           31.8            0.1000          0.8695          0.7577          1.4215                  0.4632                  0.8299          0.7519          1.4693                  0.4418
[2022/06/29 00:52:08] - 79       170.8           31.8            0.1000          0.8736          0.7577          1.4216                  0.4607                  0.8541          0.7499          1.4756                  0.4422
[2022/06/29 00:55:31] - 80       170.8           31.8            0.1000          0.8757          0.7549          1.4245                  0.4608                  0.8640          0.7351          1.4470                  0.4562
[2022/06/29 00:58:53] - 81       170.8           31.7            0.1000          0.8722          0.7577          1.4213                  0.4624                  0.8184          0.7434          1.5323                  0.4136
[2022/06/29 01:02:16] - 82       170.7           31.8            0.1000          0.8732          0.7594          1.4219                  0.4592                  0.8634          0.7343          1.4844                  0.4448
[2022/06/29 01:05:38] - 83       170.7           31.8            0.1000          0.8740          0.7575          1.4252                  0.4599                  0.8534          0.7383          1.4689                  0.4460
[2022/06/29 01:09:01] - 84       170.8           31.8            0.1000          0.8695          0.7574          1.4199                  0.4626                  0.8526          0.7513          1.4473                  0.4575
[2022/06/29 01:12:24] - 85       170.8           31.8            0.1000          0.8707          0.7570          1.4196                  0.4626                  0.8806          0.7320          1.5876                  0.4162
[2022/06/29 01:15:46] - 86       170.8           31.8            0.1000          0.8716          0.7590          1.4206                  0.4634                  0.8842          0.7506          1.4644                  0.4475
[2022/06/29 01:19:09] - 87       170.8           31.8            0.1000          0.8715          0.7600          1.4203                  0.4639                  0.8684          0.7272          1.4724                  0.4463
[2022/06/29 01:22:31] - 88       170.8           31.8            0.1000          0.8729          0.7573          1.4231                  0.4604                  0.8113          0.7664          1.4704                  0.4483
[2022/06/29 01:25:54] - 89       170.9           31.8            0.1000          0.8685          0.7584          1.4195                  0.4634                  0.8580          0.7462          1.4541                  0.4514
[2022/06/29 01:29:17] - 90       170.9           31.8            0.1000          0.8688          0.7574          1.4199                  0.4639                  0.8293          0.7468          1.4652                  0.4457
[2022/06/29 01:32:40] - 91       170.9           31.8            0.1000          0.8739          0.7569          1.4226                  0.4611                  0.8322          0.7593          1.4525                  0.4481
[2022/06/29 01:36:02] - 92       170.8           31.8            0.1000          0.8646          0.7594          1.4166                  0.4630                  0.8589          0.7432          1.4548                  0.4546
[2022/06/29 01:39:25] - 93       170.7           31.8            0.1000          0.8732          0.7581          1.4241                  0.4618                  0.8613          0.7486          1.4494                  0.4502
[2022/06/29 01:42:47] - 94       170.9           31.8            0.1000          0.8661          0.7637          1.4165                  0.4631                  0.8499          0.7507          1.4809                  0.448[49/207]
[2022/06/29 01:46:10] - 95       170.8           31.8            0.1000          0.8706          0.7568          1.4200                  0.4659                  0.8284          0.7418          1.4695                  0.4469
[2022/06/29 01:49:33] - 96       170.9           31.7            0.1000          0.8714          0.7561          1.4214                  0.4623                  0.8611          0.7469          1.4475                  0.4531
[2022/06/29 01:52:55] - 97       170.8           31.8            0.1000          0.8680          0.7568          1.4165                  0.4649                  0.8555          0.7437          1.4753                  0.4502
[2022/06/29 01:56:18] - 98       170.8           31.8            0.1000          0.8663          0.7600          1.4182                  0.4630                  0.8626          0.7266          1.5126                  0.4345
[2022/06/29 01:59:41] - 99       170.9           31.8            0.0100          0.8671          0.7572          1.4183                  0.4639                  0.8437          0.7476          1.4780                  0.4411
[2022/06/29 02:03:04] - 100      170.9           31.8            0.0100          0.7652          0.7925          1.2469                  0.5251                  0.6760          0.8062          1.3104                  0.4980
[2022/06/29 02:06:26] - 101      170.9           31.8            0.0100          0.6865          0.8126          1.1804                  0.5482                  0.6481          0.8080          1.3171                  0.4993
[2022/06/29 02:09:49] - 102      170.9           31.8            0.0100          0.6619          0.8222          1.1563                  0.5533                  0.6424          0.8201          1.3217                  0.5039
[2022/06/29 02:13:12] - 103      170.9           31.8            0.0100          0.6413          0.8286          1.1403                  0.5608                  0.6247          0.8264          1.3263                  0.4997
[2022/06/29 02:16:35] - 104      170.9           31.8            0.0100          0.6256          0.8338          1.1257                  0.5661                  0.6464          0.8148          1.2899                  0.5093
[2022/06/29 02:19:58] - 105      170.9           31.8            0.0100          0.6111          0.8381          1.1096                  0.5730                  0.6209          0.8176          1.3047                  0.5020
[2022/06/29 02:23:20] - 106      170.8           31.8            0.0100          0.6030          0.8408          1.0996                  0.5746                  0.6104          0.8243          1.2916                  0.5034
[2022/06/29 02:26:43] - 107      170.8           31.8            0.0100          0.5894          0.8470          1.0880                  0.5786                  0.6097          0.8260          1.3131                  0.5025
[2022/06/29 02:30:06] - 108      170.8           31.8            0.0100          0.5790          0.8499          1.0795                  0.5814                  0.5984          0.8279          1.3271                  0.4986
